feature,rf_importance,mutual_info,perm_mean,r_rf,r_mi,r_perm,rank_mean
amount_new_house_transactions_log1p,0.9968110526978099,6.394674553381358,1.9579955825602453,1.0,1.0,1.0,1.0
amount_new_house_transactions_lag3,3.409533965937713e-05,0.49334640929209783,2.6193522018669314e-05,22.0,16.0,21.0,19.666666666666668
retail,4.054202079055784e-05,0.41257223025658396,2.8990236113624056e-05,18.0,34.0,19.0,23.666666666666668
bus_station_cnt,2.3725891299270846e-05,0.43209231138924586,3.1175822428630703e-05,34.0,26.0,18.0,26.0
supply_demand_ratio,2.2578275193491526e-05,0.3945763422566779,3.68130108455933e-05,36.0,41.0,14.0,30.333333333333332
area_new_house_transactions_lag1,1.271221557671547e-05,0.5161461665564921,3.642691099123851e-05,67.0,13.0,15.0,31.666666666666668
medical_health_pharmaceutical_healthcare,5.9453509757889107e-05,0.3890148332294192,1.2199894049835792e-05,13.0,46.0,42.0,33.666666666666664
amount_new_house_transactions_lag3_log1p,2.2483874661696875e-05,0.5018797148504337,9.265905872368752e-06,39.0,15.0,51.0,35.0
transportation_facilities_service_bus_station_dense,2.575726747204438e-05,0.39016004592001297,1.8153822063438074e-05,30.0,43.0,33.0,35.333333333333336
number_of_shops,3.236279879404558e-05,0.39605712976254814,1.1826675960791012e-05,23.0,40.0,43.0,35.333333333333336
supermarket_convenience_stores_dense,2.1365973509187796e-05,0.38177936847561744,3.925795210070193e-05,42.0,57.0,11.0,36.666666666666664
retail_dense,1.9786217461341567e-05,0.3962203866587597,1.383924355671251e-05,44.0,39.0,39.0,40.666666666666664
surrounding_shop_average_rent,2.180300808872585e-05,0.5195645074807222,2.646790977756108e-06,41.0,12.0,77.0,43.333333333333336
surrounding_housing_average_price,1.3639008298120628e-05,0.5120109337723173,7.054169920550634e-06,62.0,14.0,55.0,43.666666666666664
city_search_volume,0.00017983119577535186,0.213683996070265,0.00018080679316988534,2.0,128.0,3.0,44.333333333333336
amount_new_house_transactions_lag1,2.2511535714563647e-05,1.0888972512214208,1.482710496980566e-06,38.0,4.0,91.0,44.333333333333336
medical_health_specialty_hospital,3.765301589021703e-05,0.3634153648804772,1.0559968154388866e-05,20.0,64.0,50.0,44.666666666666664
num_new_house_transactions,2.3688235803034136e-05,1.0157341445509043,1.2562590375408967e-06,35.0,6.0,96.0,45.666666666666664
price_new_house_transactions_lag3_log1p,0.00014760570950980072,0.20891922078107505,0.00011767805347734361,3.0,132.0,4.0,46.333333333333336
shopping_centers_dense,2.9622161202931522e-05,0.29441185603285636,3.586462096182297e-05,27.0,96.0,17.0,46.666666666666664
num_new_house_transactions_roll3,6.1152380345400335e-06,0.6244072634557245,2.0759813225978974e-05,104.0,8.0,30.0,47.333333333333336
new_near_price_new_house_transactions_nearby_sectors_log1p,6.367467700637434e-05,0.2217234955106564,4.662871193990003e-05,12.0,127.0,9.0,49.333333333333336
leisure_entertainment_entertainment_venue_game_arcade_dense,4.7991331368004124e-05,0.2694189626611365,1.815220852287025e-05,15.0,104.0,34.0,51.0
new_near_total_price_per_unit_new_house_transactions_nearby_sectors,4.1772152139764666e-05,0.21303021738106498,6.500901436742312e-05,17.0,129.0,8.0,51.333333333333336
number_of_skincare_cosmetics_stores,2.0930861139173693e-05,0.2859971675783419,3.8125074753181386e-05,43.0,99.0,13.0,51.666666666666664
price_new_house_transactions_lag3,0.00012310431395401,0.18581308313163714,6.710898888608873e-05,6.0,145.0,7.0,52.666666666666664
home_appliance_stores_dense,1.9039919814205764e-05,0.35830841711639394,1.1448988044582275e-05,47.0,68.0,44.0,53.0
residential_commercial_dense,5.510625875573829e-05,0.18676804276132963,9.634053825962053e-05,14.0,143.0,5.0,54.0
price_new_house_transactions_lag1,0.00011481928457941979,0.1820242873477973,9.083113739831728e-05,7.0,149.0,6.0,54.0
area_new_house_transactions_lag3,1.0275797073006382e-05,0.3613742441565453,2.6131229199688465e-05,78.0,65.0,22.0,55.0
education_training_school_education_kindergarten_dense,1.7004021790025647e-05,0.3578070869697374,7.486692692804109e-06,50.0,69.0,54.0,57.666666666666664
num_new_house_transactions_lag1_log1p,3.536865195316766e-06,0.4743865574073336,2.6692879075218558e-05,138.0,17.0,20.0,58.333333333333336
education_training_school_education_middle_school_dense,1.3889186806727109e-05,0.33936935797545864,1.4679858765331844e-05,60.0,83.0,37.0,60.0
price_new_house_transactions_lag1_log1p,3.213624945491616e-05,0.18819582609324836,3.616950352884896e-05,24.0,142.0,16.0,60.666666666666664
new_near_total_price_per_unit_new_house_transactions_nearby_sectors_log1p,2.4577411961169153e-05,0.22238173393511307,2.4428014445709857e-05,33.0,126.0,25.0,61.333333333333336
other_stores_dense,2.1902998087647864e-05,0.2371674119095215,1.8864992531519854e-05,40.0,119.0,32.0,63.666666666666664
subway_station_cnt_dense,1.1667594304677036e-05,0.28444859527372257,2.5197018394162996e-05,69.0,100.0,24.0,64.33333333333333
area_new_house_transactions,1.0887629333423468e-05,1.2564655419396136,4.5237421568700143e-07,76.0,2.0,115.0,64.33333333333333
area_new_house_transactions_lag3_log1p,1.547261687647603e-05,0.3788235035137797,2.1532798140988517e-06,56.0,58.0,82.0,65.33333333333333
resident_population_dense,7.984133223705507e-06,0.3820292674514958,7.905883942216362e-06,88.0,55.0,53.0,65.33333333333333
education_training_school_education_middle_school,1.5957107291141764e-05,0.3575319154520735,2.5271230839507554e-06,53.0,70.0,78.0,67.0
pre_price_pre_owned_house_transactions_log1p,1.8541962922694957e-05,0.25139529516673065,1.0719225010857869e-05,48.0,111.0,46.0,68.33333333333333
hypermarkets_dense,2.2559332408977048e-05,0.16264579352020858,3.847989412660846e-05,37.0,158.0,12.0,69.0
education_training_school_education_primary_school,8.84811218766397e-06,0.3343062995420327,1.1132937742375226e-05,83.0,85.0,45.0,71.0
price_new_house_transactions_log1p,7.76801560863249e-06,0.2992258648669335,2.01692846247159e-05,90.0,94.0,31.0,71.66666666666667
pre_near_amount_pre_owned_house_transactions_nearby_sectors_log1p,3.1096690062631814e-05,0.1696761570694143,1.658150757914978e-05,25.0,155.0,35.0,71.66666666666667
pre_price_pre_owned_house_transactions,1.039146026047106e-05,0.2679857899819398,1.4558359212690775e-05,77.0,105.0,38.0,73.33333333333333
total_price_per_unit_new_house_transactions_log1p,6.45426679328811e-06,0.29710011423105076,2.2239096424669923e-05,101.0,95.0,29.0,75.0
residential_area_dense,8.296227731096326e-06,0.35645829619093217,3.6808477148153607e-06,87.0,72.0,70.0,76.33333333333333
surrounding_housing_average_price_log1p,4.7160929432238886e-06,0.4212904751959612,2.246213170531419e-06,120.0,30.0,81.0,77.0
new_near_area_per_unit_new_house_transactions_nearby_sectors_log1p,7.210548213232869e-05,0.14284315668276637,5.943596317670163e-06,9.0,164.0,58.0,77.0
service_stores_dense,6.876288929653256e-06,0.26176475547550027,2.2878133743964302e-05,99.0,108.0,27.0,78.0
pre_near_price_pre_owned_house_transactions_nearby_sectors,1.792457078528564e-05,0.19353279492282738,1.063536799456033e-05,49.0,138.0,49.0,78.66666666666667
period_new_house_sell_through,6.31603646736679e-06,0.2523121626811271,2.3288758325523684e-05,102.0,110.0,26.0,79.33333333333333
number_of_shopping_centers,1.473687110250662e-05,0.18824140953876123,1.2357551058073124e-05,59.0,141.0,41.0,80.33333333333333
rentable_shops,4.8488635209259435e-06,0.407854648376321,1.5333986593923932e-06,117.0,35.0,90.0,80.66666666666667
season,0.0001442519841689012,0.10385735061332602,0.00023252384802746606,4.0,240.0,2.0,82.0
residential_area,3.0946659440412877e-06,0.4168082561744737,3.3531022909261134e-06,145.0,31.0,71.0,82.33333333333333
number_of_supermarket_convenience_stores,3.3501311448196744e-06,0.3777710916614301,1.06834195860106e-05,140.0,59.0,48.0,82.33333333333333
office_building_dense,5.0551508133478625e-06,0.34390706742076294,6.2968096312565615e-06,114.0,78.0,57.0,83.0
leisure_entertainment_entertainment_venue_game_arcade,1.6558527896020123e-05,0.27389657444771,9.280061976313369e-07,51.0,103.0,106.0,86.66666666666667
num_new_house_available_for_sale,2.5705314221960645e-05,0.45475156746835044,-1.088411910699083e-06,31.0,22.0,207.0,86.66666666666667
new_near_period_new_house_sell_through_nearby_sectors,8.369178163265635e-06,0.16158138824281654,2.5378522046881625e-05,85.0,159.0,23.0,89.0
num_new_house_transactions_log1p,1.3221287995820479e-05,1.021276499534233,-6.853961148078902e-07,63.0,5.0,203.0,90.33333333333333
office_population,4.285582512921952e-06,0.37404190958257955,1.805152733569404e-06,129.0,60.0,86.0,91.66666666666667
transportation_facilities_service_subway_station,5.95152522113698e-06,0.343749014183405,1.6510107335054868e-06,107.0,80.0,89.0,92.0
number_of_jewelry_stores,1.3703293710775411e-05,0.279127993856366,1.5735071190459138e-07,61.0,101.0,125.0,95.66666666666667
medical_health_disease_prevention_institution_dense,3.853379862546302e-06,0.24496421801316526,1.3103034395134383e-05,133.0,114.0,40.0,95.66666666666667
leisure_and_entertainment_dense,2.685942756946214e-06,0.3986490392213806,1.2047984573548832e-06,153.0,38.0,97.0,96.0
new_near_area_per_unit_new_house_transactions_nearby_sectors,1.1007582049499694e-05,0.15528179447149615,3.0874590932317146e-06,74.0,161.0,73.0,102.66666666666667
area_new_house_transactions_log1p,7.362259080173359e-06,1.2286079943246468,-1.893751587456194e-06,91.0,3.0,218.0,104.0
new_near_price_new_house_transactions_nearby_sectors,7.2938681138496355e-06,0.21281606019206123,1.4141724161476076e-06,92.0,130.0,92.0,104.66666666666667
cityidx_number_of_industrial_enterprises_above_designated_size,1.1745899436350266e-05,0.13156152256489673,2.2787638362709028e-05,68.0,221.0,28.0,105.66666666666667
catering_food_stores_dense,1.995490564575069e-06,0.39344187115842066,6.217558219390185e-07,165.0,42.0,111.0,106.0
number_of_hypermarkets,1.100723947570119e-05,0.0987212169917242,4.0392463584570934e-05,75.0,241.0,10.0,108.66666666666667
population_scale,7.207784160663967e-06,0.4254254508918258,-1.5752315919437265e-06,93.0,28.0,214.0,111.66666666666667
new_near_num_new_house_transactions_nearby_sectors,5.097543504231813e-06,0.18440512741025028,3.038453521453377e-06,113.0,148.0,74.0,111.66666666666667
num_new_house_transactions_lag1,2.9513491481295122e-05,0.471849384625151,-5.1614217780249215e-05,28.0,18.0,291.0,112.33333333333333
medical_health_rehabilitation_institution_dense,1.2735178791439376e-05,0.3660661666461107,-2.7085155576145326e-06,66.0,63.0,220.0,116.33333333333333
transportation_facilities_service_bus_station,1.0499117157951796e-06,0.3989047617641943,3.7055911275007956e-07,200.0,37.0,119.0,118.66666666666667
cityidx_over_60_years_percent,5.1883876032205345e-06,0.13693726293376685,2.3668577454838414e-06,111.0,168.0,80.0,119.66666666666667
price_new_house_transactions,3.9872607799009046e-05,0.30150095017186995,-7.2226727636959255e-06,19.0,92.0,248.0,119.66666666666667
number_of_catering_food_stores,3.454104458643809e-07,0.4148798104428377,1.9610464719654885e-06,244.0,33.0,83.0,120.0
cityidx_number_of_primary_schools,9.442012594854535e-06,0.08860551038546927,1.559753932851571e-05,81.0,245.0,36.0,120.66666666666667
number_of_shops_dense,1.5093892203314694e-06,0.3843909884972492,1.3686824049674584e-07,185.0,50.0,128.0,121.0
commercial_buildings_dense,2.847566574435432e-06,0.29046799434854753,4.1372753346591294e-07,148.0,97.0,118.0,121.0
area_new_house_available_for_sale,3.1363709327392825e-06,0.46496920295252053,-5.097539251708305e-07,144.0,19.0,200.0,121.0
land_num_land_transactions_log1p,2.5362307063292726e-05,0.021196973233065464,4.853205356325496e-06,32.0,269.0,63.0,121.33333333333333
cityidx_year_end_total_employed_population_10k,3.724125216713103e-06,0.1377854913545571,4.618273728640432e-06,134.0,166.0,64.0,121.33333333333333
amount_new_house_transactions_lag1_log1p,8.340460869268998e-06,0.9996494934208355,-1.3416138643762566e-05,86.0,7.0,272.0,121.66666666666667
medical_health,1.1486726441607914e-05,0.42389387019407243,-1.1608998410461702e-05,70.0,29.0,267.0,122.0
education,5.527953700795508e-07,0.4527053689803391,4.338712987994597e-07,229.0,23.0,116.0,122.66666666666667
number_of_fashion_stores,7.476723029231354e-07,0.37366900081422916,1.1518658268316884e-06,212.0,61.0,99.0,124.0
catering,1.5008450089207081e-05,0.404695512106219,-2.2351439656920215e-05,57.0,36.0,282.0,125.0
hotel,4.71961126232618e-07,0.4438918489212509,3.314403196563731e-07,235.0,25.0,120.0,126.66666666666667
leisure_and_entertainment,5.149921327572245e-06,0.4565015622099491,-8.176562438588774e-06,112.0,21.0,251.0,128.0
medical_health_clinic_dense,5.9620780811271986e-06,0.38652374283703095,-4.0421990720629354e-06,106.0,48.0,230.0,128.0
number_of_department_stores,3.0526745179602044e-05,0.09649610305661938,4.338260079617129e-07,26.0,242.0,117.0,128.33333333333334
transportation_facilities_service_subway_station_dense,7.005421794959454e-07,0.325552202699285,2.4567685099841086e-06,217.0,89.0,79.0,128.33333333333334
unranked_malls_dense,5.332997108243471e-07,0.3829331388165724,1.0677442177198238e-06,231.0,53.0,103.0,129.0
rentable_shops_dense,6.827234879112479e-07,0.3696377264111761,5.167099763059291e-07,218.0,62.0,113.0,131.0
office_population_dense,1.5654485680549456e-06,0.4312226507468391,-9.516647191398775e-08,183.0,27.0,183.0,131.0
medical_health_general_hospital,5.56452960476498e-07,0.3550233040652273,1.3834324590344949e-06,228.0,73.0,93.0,131.33333333333334
number_of_leisure_and_entertainment_stores,1.9796135291732796e-06,0.15974277924365143,3.683355885786277e-06,166.0,160.0,69.0,131.66666666666666
pre_area_pre_owned_house_transactions_log1p,1.8334812647871906e-06,0.23928068281880677,8.805422109015027e-07,171.0,117.0,107.0,131.66666666666666
area_new_house_transactions_lag1_log1p,4.072118668442654e-06,0.5343982982776732,-8.761356895858884e-06,131.0,10.0,255.0,132.0
resident_population,4.039699658461779e-06,0.44597190457630687,-5.869089528887095e-06,132.0,24.0,242.0,132.66666666666666
medical_health_rehabilitation_institution,4.583115305299942e-06,0.415609785070957,-5.90683197833064e-06,123.0,32.0,244.0,133.0
pre_area_pre_owned_house_transactions,0.00013524242006736215,0.25252113411703725,-2.8027336192659735e-05,5.0,109.0,285.0,133.0
cityidx_gdp_per_capita_yuan,4.5493194413625685e-06,0.13058107848635103,8.579674883957278e-06,125.0,225.0,52.0,134.0
catering_dense,2.770323695218163e-06,0.38258995786541483,-3.9657811532478606e-07,151.0,54.0,198.0,134.33333333333334
leisure_entertainment_stores_dense,1.649947400580928e-05,0.2669019484477104,-6.785437732770294e-06,52.0,106.0,246.0,134.66666666666666
department_stores_dense,6.64922897410231e-05,0.18922806074567466,-9.820635849400184e-06,11.0,140.0,260.0,137.0
pre_amount_pre_owned_house_transactions,1.1076059564408995e-06,0.20925209093872077,1.9401659912210435e-06,199.0,131.0,84.0,138.0
bus_station_cnt_dense,2.289253675994148e-06,0.38969465409427784,-1.3190312476818456e-06,160.0,44.0,211.0,138.33333333333334
jewelry_stores_dense,1.6243071003138464e-06,0.2773435461049347,9.03266575202899e-08,180.0,102.0,133.0,138.33333333333334
total_price_per_unit_new_house_transactions,4.504925355781005e-06,0.30306861692839693,-4.1763600064914643e-07,126.0,91.0,199.0,138.66666666666666
education_training_school_education_kindergarten,4.850083657018033e-07,0.38576236346072745,4.368842273505535e-08,234.0,49.0,135.0,139.33333333333334
leisure_entertainment_cultural_venue_cultural_palace_dense,4.090535566175598e-07,0.30118980348008373,1.7291111657713466e-06,238.0,93.0,88.0,139.66666666666666
pre_num_pre_owned_house_transactions_log1p,9.409865135522632e-07,0.24591972726090017,9.91552250162453e-07,202.0,113.0,104.0,139.66666666666666
medical_health_general_hospital_dense,5.41975897556934e-07,0.35924088004022803,1.84481206144671e-07,230.0,67.0,124.0,140.33333333333334
subway_station_cnt,1.1933679040468514e-06,0.22460461674472665,1.0917930122089636e-06,196.0,124.0,102.0,140.66666666666666
area_per_unit_new_house_transactions,7.035740290844104e-05,0.23451667455857805,-0.00011011664976108282,10.0,120.0,294.0,141.33333333333334
commercial_area_dense,6.535933529399328e-07,0.34614928338745354,1.4631873674897377e-07,220.0,77.0,127.0,141.33333333333334
hotel_dense,3.2933648912935824e-06,0.34387406230594353,-7.265241978249293e-07,142.0,79.0,204.0,141.66666666666666
new_near_num_new_house_transactions_nearby_sectors_log1p,2.267708337772719e-06,0.18653010705059891,2.3517498612957155e-07,161.0,144.0,121.0,142.0
area_per_unit_new_house_transactions_log1p,4.665907994358102e-05,0.23143357019733646,-4.9388271086814314e-05,16.0,121.0,290.0,142.33333333333334
cityidx_tertiary_industry_development_gdp_share,3.1958476977719702e-06,0.13620256523148733,8.596519196601982e-07,143.0,178.0,108.0,143.0
num_new_house_transactions_lag3,4.631586622805346e-06,0.3475865528399593,-4.165309617931712e-06,122.0,76.0,232.0,143.33333333333334
land_construction_area,9.756380700601854e-06,0.015306813212315973,2.653555799136953e-06,79.0,278.0,76.0,144.33333333333334
num_new_house_transactions_roll3_log1p,3.0096237057958055e-06,0.6109848542939904,-1.9008718881574628e-05,146.0,9.0,279.0,144.66666666666666
medical_health_physical_examination_institution_dense,6.408635382091379e-07,0.18925403187236922,2.8866575017105765e-06,221.0,139.0,75.0,145.0
sector_coverage,2.899211740084013e-07,0.5309807935161652,-1.1897398577431772e-08,250.0,11.0,175.0,145.33333333333334
transportation_station_dense,2.3919121770185982e-06,0.3868833550202644,-4.167037929991846e-06,157.0,47.0,233.0,145.66666666666666
medical_health_specialty_hospital_dense,6.028807177074558e-07,0.3371921373829556,1.5296152475752222e-07,227.0,84.0,126.0,145.66666666666666
office_building,5.258347097932336e-06,0.3839912388318387,-1.639955372788604e-05,110.0,51.0,277.0,146.0
transportation_station,8.102067256676213e-07,0.4591064902037014,-1.572143157946293e-06,207.0,20.0,213.0,146.66666666666666
education_training_school_education_research_institution_dense,6.9857272507440365e-06,0.3276550578018149,-9.401879929504808e-06,96.0,86.0,258.0,146.66666666666666
commercial_area,4.446636037010216e-06,0.35300542908211163,-5.732774907485361e-06,128.0,74.0,239.0,147.0
education_training_school_education_primary_school_dense,4.806785611276611e-06,0.326928223747041,-5.649091038073539e-06,118.0,88.0,238.0,148.0
land_near_transaction_amount_nearby_sectors,4.639455736254439e-06,0.05374277217381085,4.085716413426699e-06,121.0,258.0,67.0,148.66666666666666
leisure_entertainment_entertainment_venue_party_house,7.649046260258095e-07,0.24299370160647404,2.0483951037597592e-07,210.0,116.0,122.0,149.33333333333334
skincare_cosmetics_stores_dense,2.316214871131696e-06,0.30492041976122275,-5.530854947477515e-07,159.0,90.0,202.0,150.33333333333334
new_near_num_new_house_available_for_sale_nearby_sectors,4.570062215951505e-06,0.20356269427338702,-2.8384344069598555e-07,124.0,134.0,195.0,151.0
medical_health_clinic,6.913641108830621e-06,0.35150467777533567,-1.963370298951883e-05,98.0,75.0,280.0,151.0
medical_health_dense,5.137565556321267e-07,0.38967137045760003,-1.6103930133848365e-08,233.0,45.0,177.0,151.66666666666666
new_near_amount_new_house_transactions_nearby_sectors_log1p,4.194096635664479e-06,0.20451571876592478,-2.295244367012117e-07,130.0,133.0,193.0,152.0
new_near_area_new_house_transactions_nearby_sectors_log1p,2.9397512094494426e-06,0.19780387106797814,-1.5570646116902508e-08,147.0,135.0,176.0,152.66666666666666
cityidx_national_population_share,1.9474607779025453e-06,0.10624487942166683,6.341631865813824e-06,167.0,238.0,56.0,153.66666666666666
