feature,rf_importance,mutual_info,perm_mean,r_rf,r_mi,r_perm,rank_mean
cityidx_private_individual_ratio,1.6436706748616544e-06,0.1364774263153512,5.972263414033563e-07,178.0,172.0,112.0,154.0
num_new_house_transactions_lag3_log1p,7.847112942738106e-07,0.3613569107004029,-1.5474166696893833e-07,208.0,66.0,190.0,154.66666666666666
month_num,7.691187866549213e-05,0.11172227139695368,-3.0744796173154398e-06,8.0,235.0,222.0,155.0
population_scale_dense,2.080799007557703e-06,0.3833699747370254,-8.359078377051522e-06,163.0,52.0,252.0,155.66666666666666
pre_near_area_pre_owned_house_transactions_nearby_sectors_log1p,3.6117824341189066e-05,0.17368678334119014,-7.309608297089154e-05,21.0,153.0,293.0,155.66666666666666
cityidx_personal_income_tax_100m,1.7584754558369969e-06,0.13477113561011622,1.1374693358767729e-06,175.0,193.0,100.0,156.0
pre_amount_pre_owned_house_transactions_log1p,7.210867400102182e-07,0.22361702952380202,1.0001241390611426e-07,215.0,125.0,132.0,157.33333333333334
land_transaction_amount,5.499730521140092e-06,0.020097408414522677,1.3351536959915755e-06,108.0,271.0,94.0,157.66666666666666
pre_near_amount_pre_owned_house_transactions_nearby_sectors,1.1968069550345836e-06,0.16579103822903551,1.972628260737963e-07,195.0,156.0,123.0,158.0
cityidx_engel_coefficient,1.7093649062035332e-06,0.05931919466281288,1.0702962541886408e-05,176.0,254.0,47.0,159.0
medical_health_pharmaceutical_healthcare_dense,3.991703334836236e-07,0.35726025697337693,-6.5156945949773615e-09,239.0,71.0,170.0,160.0
new_near_area_new_house_transactions_nearby_sectors,3.6250199920876253e-06,0.19724167562403228,-1.284645272081608e-06,136.0,136.0,209.0,160.33333333333334
fashion_stores_dense,1.617249928955351e-06,0.3416082063761503,-2.1435034044170464e-06,181.0,81.0,219.0,160.33333333333334
land_transaction_amount_log1p,5.054646356740959e-06,0.019836473635230778,1.3060399281061841e-06,115.0,272.0,95.0,160.66666666666666
cityidx_number_of_middle_schools,9.376253840056118e-07,0.13174207521532688,4.879658217038507e-06,203.0,219.0,62.0,161.33333333333334
number_of_home_appliance_stores,2.6148936763450546e-06,0.34111427566893315,-7.773143425360284e-06,154.0,82.0,249.0,161.66666666666666
medical_health_physical_examination_institution,6.660088869303565e-07,0.14592411959732488,9.88717164096542e-07,219.0,163.0,105.0,162.33333333333334
education_dense,3.777757243393223e-07,0.38187716144182104,-2.0292640063868105e-07,242.0,56.0,192.0,163.33333333333334
number_of_residential_commercial,1.3682269396313492e-06,0.11272243772471646,4.320373871080641e-06,190.0,234.0,66.0,163.33333333333334
other_anchor_stores_dense,1.8519587265821753e-06,0.2873072027320469,-3.091429208712526e-06,170.0,98.0,223.0,163.66666666666666
pre_near_num_pre_owned_house_transactions_nearby_sectors,1.5944906510972168e-05,0.18037772065276592,-3.900511811629759e-05,54.0,150.0,288.0,164.0
cityidx_annual_average_wage_urban_non_private_on_duty_employees_yuan,1.7784750073520263e-06,0.13552782714234146,1.819150210469189e-08,174.0,181.0,137.0,164.0
cityidx_gdp_100m,7.599605697187047e-07,0.13107976879954375,5.85805970251263e-06,211.0,224.0,59.0,164.66666666666666
cityidx_year_end_urban_non_private_employees_10k,8.841085872080796e-07,0.12745468175066765,4.932016672565265e-06,205.0,228.0,61.0,164.66666666666666
cityidx_retail_sales_growth_rate,3.4450184284088026e-07,0.13480523447570558,5.531977125672327e-06,245.0,190.0,60.0,165.0
land_near_num_land_transactions_nearby_sectors,3.342957679253728e-06,0.05671803722612645,1.1854929259258462e-06,141.0,257.0,98.0,165.33333333333334
new_near_area_new_house_available_for_sale_nearby_sectors,6.0427228808135436e-06,0.2251679048913502,-1.2619373000455347e-05,105.0,122.0,269.0,165.33333333333334
pre_near_area_pre_owned_house_transactions_nearby_sectors,1.5821479942927807e-05,0.1644608359636246,-3.233062391281294e-05,55.0,157.0,287.0,166.33333333333334
cityidx_primary_school_students_10k,7.076987522221034e-06,0.13631948254837445,-4.059647452470117e-06,95.0,174.0,231.0,166.66666666666666
medical_health_disease_prevention_institution,2.1341167075657513e-06,0.19671090807679237,-5.480097260757155e-07,162.0,137.0,201.0,166.66666666666666
pre_near_num_pre_owned_house_transactions_nearby_sectors_log1p,1.2765423511519485e-05,0.17960820494415497,-3.150298748709757e-05,65.0,151.0,286.0,167.33333333333334
transportation_facilities_service_train_station,8.94189237398271e-07,0.10870912893051177,4.460471907963281e-06,204.0,237.0,65.0,168.66666666666666
new_near_amount_new_house_transactions_nearby_sectors,1.6335245232348835e-06,0.18570557740256888,-9.938737345338567e-08,179.0,146.0,184.0,169.66666666666666
cityidx_number_of_operating_bus_lines,1.1409533702537138e-05,0.13628330758240015,-1.0601106935559378e-05,71.0,175.0,263.0,169.66666666666666
leisure_entertainment_cultural_venue_cultural_palace,6.296444125962471e-07,0.2659202161367773,-6.257163293055257e-08,223.0,107.0,182.0,170.66666666666666
education_training_school_education_research_institution,2.5295593323830962e-06,0.3272314773032381,-1.3214871192623878e-05,155.0,87.0,271.0,171.0
medical_health_first_aid_center_dense,7.716256629171293e-07,0.10969317173914339,3.844174689848767e-06,209.0,236.0,68.0,171.0
cityidx_urban_consumer_price_index_previous_year_100,1.9209623163215242e-05,0.13548403773500572,-2.3575538409215114e-05,46.0,183.0,284.0,171.0
number_of_other_stores,5.32838081930117e-07,0.18446700919558667,3.470028986374274e-09,232.0,147.0,140.0,173.0
cityidx_gdp_population_ratio,2.7911743970825823e-05,0.134223226227832,-5.19228255864701e-05,29.0,199.0,292.0,173.33333333333334
number_of_other_anchor_stores,4.879468088903612e-06,0.17630463907075455,-8.544734945814535e-06,116.0,152.0,254.0,174.0
pre_num_pre_owned_house_transactions,1.2212735549148575e-06,0.2462940409255827,-3.248236840125429e-06,193.0,112.0,224.0,176.33333333333334
cityidx_per_capita_disposable_income_index_previous_year_100,1.951981912243298e-05,0.13417088794836918,-4.818127606264211e-05,45.0,200.0,289.0,178.0
cityidx_18_60_years_percent,1.1363040239849784e-05,0.1354941829410592,-2.3310486021255182e-05,72.0,182.0,283.0,179.0
cityidx_total_retail_sales_of_consumer_goods_100m,1.4141387677810873e-06,0.13207106176492678,3.28399984650396e-08,187.0,215.0,136.0,179.33333333333334
cityidx_urban_consumer_price_index_previous_year_100_log1p,1.4947942713256171e-05,0.12608458983426463,-8.001030351589833e-06,58.0,230.0,250.0,179.33333333333334
cityidx_middle_school_students_10k,6.28074039884312e-06,0.1362742934756418,-1.0479914094407849e-05,103.0,176.0,261.0,180.0
leisure_entertainment_entertainment_venue_party_house_dense,4.480057912599019e-07,0.24322305109510012,-1.9551499081948974e-07,236.0,115.0,191.0,180.66666666666666
cityidx_secondary_industry_development_gdp_share,7.150612290275294e-06,0.13613982462754493,-1.2640046570788766e-05,94.0,179.0,270.0,181.0
cityidx_doctors_10k,1.1136426037308857e-05,0.13452253071418152,-1.6239046579369364e-05,73.0,197.0,276.0,182.0
cityidx_primary_industry_100m,2.812737662797449e-06,0.13638880092074057,-3.495287925214807e-06,149.0,173.0,225.0,182.33333333333334
cityidx_education_expenditure_10k,4.765911533071391e-06,0.13676783441848972,-9.46566700279483e-06,119.0,170.0,259.0,182.66666666666666
cityidx_primary_industry_percent,6.980702833382558e-06,0.13554804030488965,-1.5731315216271913e-05,97.0,180.0,275.0,184.0
cityidx_per_capita_urban_road_area_sqm,9.48914518939247e-06,0.1336732699771317,-1.1464391382864925e-05,80.0,209.0,265.0,184.66666666666666
cityidx_secondary_industry_100m,8.823792344161104e-06,0.13194647686227956,-8.454777168065419e-06,84.0,217.0,253.0,184.66666666666666
number_of_unranked_malls,7.087336283691672e-07,0.23774327960604458,-3.00764162513012e-06,216.0,118.0,221.0,185.0
land_num_land_transactions,9.324856915525257e-06,0.02039984804051831,-8.476575656279905e-07,82.0,270.0,206.0,186.0
number_of_service_stores,1.462207989322464e-07,0.22466279415997192,-3.88254027927637e-08,256.0,123.0,180.0,186.33333333333334
cityidx_18_60_years_10k,3.9039455156409544e-07,0.1319921653109497,8.302333921683669e-07,240.0,216.0,109.0,188.33333333333334
cityidx_national_year_end_total_population_10k,4.461149996525598e-06,0.11352582371239706,-7.526512419753218e-07,127.0,233.0,205.0,188.33333333333334
community_malls_dense,2.2032730037789738e-07,0.09641717130362482,3.1301992236665297e-06,252.0,243.0,72.0,189.0
cityidx_hospital_beds_10k,3.6108180968705455e-06,0.13440443036076966,-4.8027472592693245e-06,137.0,198.0,234.0,189.66666666666666
cityidx_number_of_kindergartens,1.8736382896135206e-06,0.1339263269423121,-3.7173275371227275e-07,169.0,203.0,197.0,189.66666666666666
cityidx_per_capita_housing_area_sqm,1.3066331339555555e-05,0.12868963918717702,-1.9728486871528616e-05,64.0,227.0,281.0,190.66666666666666
pre_near_price_pre_owned_house_transactions_nearby_sectors_log1p,2.790588375154283e-06,0.1720520163283661,-1.176018444050131e-05,150.0,154.0,268.0,190.66666666666666
cityidx_university_students_10k,3.3817025360374775e-07,0.13479022865724666,1.4534637915453174e-08,247.0,192.0,138.0,192.33333333333334
cityidx_national_economic_primacy,1.365491762579218e-07,0.1347937879973662,1.2381788032644893e-07,258.0,191.0,129.0,192.66666666666666
transportation_facilities_service_port_terminal_dense,3.776419701059185e-07,0.06698044353187993,1.818875823178523e-06,243.0,251.0,85.0,193.0
cityidx_white_collar_service_vs_blue_collar_manufacturing_ratio,5.380429281007026e-06,0.1255103958478876,-5.859686264875208e-06,109.0,231.0,241.0,193.66666666666666
cityidx_national_gdp_100m,1.937461907695099e-06,0.13508886704113587,-3.7091829274027434e-06,168.0,188.0,226.0,194.0
number_of_community_malls,3.885737733614242e-07,0.05783491827371767,1.7346425537523302e-06,241.0,255.0,87.0,194.33333333333334
cityidx_tertiary_industry_percent,7.433805128758002e-07,0.13389696658416517,-8.788069938425736e-10,213.0,204.0,166.0,194.33333333333334
cityidx_per_capita_disposable_income_absolute_yuan,2.468990844220082e-06,0.13321813362201063,-1.7076278322702977e-06,156.0,212.0,216.0,194.66666666666666
cityidx_under_18_10k,9.56534898519232e-08,0.13468935733642384,1.0804905389294462e-07,261.0,194.0,131.0,195.33333333333334
cityidx_resident_registered_ratio,1.7918480095943958e-07,0.1338963991472415,1.111631768857535e-07,253.0,205.0,130.0,196.0
cityidx_year_end_resident_population_10k,6.222503416187482e-07,0.12629444428075054,7.585947976451735e-08,225.0,229.0,134.0,196.0
cityidx_per_capita_personal_income_tax_yuan,1.6807532075102673e-06,0.13547254869451564,-3.935635867180487e-06,177.0,184.0,229.0,196.66666666666666
cityidx_secondary_industry_percent,7.797876091333516e-06,0.13129987531234733,-1.7031591130922674e-05,89.0,223.0,278.0,196.66666666666666
cityidx_employed_population,7.355900675067842e-07,0.13688732246209945,-1.1435916750790476e-06,214.0,169.0,208.0,197.0
cityidx_total_households_10k,1.1461007280187584e-06,0.13393191873744614,-2.4947101511241244e-07,197.0,202.0,194.0,197.66666666666666
cityidx_hospitals_health_centers,1.397550756834124e-06,0.1362209865866051,-3.8529210750426476e-06,189.0,177.0,227.0,197.66666666666666
land_near_num_land_transactions_nearby_sectors_log1p,4.458700053524686e-07,0.057793038903888094,1.117219484192411e-06,237.0,256.0,101.0,198.0
land_near_planned_building_area_nearby_sectors,6.230001498470352e-07,0.044459009470511734,7.685065370188759e-07,224.0,261.0,110.0,198.33333333333334
cityidx_annual_average_wage_urban_non_private_employees_yuan,3.712246157690354e-06,0.13524172816223823,-1.5036575754001636e-05,135.0,186.0,274.0,198.33333333333334
cityidx_general_public_budget_expenditure_100m,6.598748046834702e-06,0.1198483950772995,-1.1031052424714804e-05,100.0,232.0,264.0,198.66666666666666
number_of_commercial_buildings,1.3487121845229978e-06,0.15002327097298718,-6.018244436378772e-06,191.0,162.0,245.0,199.33333333333334
office_building_commercial_dense,1.2309370415673732e-07,0.13758797222289787,-1.030514141797667e-08,259.0,167.0,173.0,199.66666666666666
cityidx_internet_broadband_access_ratio,2.3750207471559617e-06,0.13509186107666737,-8.826645819992595e-06,158.0,187.0,256.0,200.33333333333334
cityidx_under_18_percent,2.75799104546899e-06,0.13363548025758698,-6.865825905244538e-06,152.0,210.0,247.0,203.0
cityidx_total,1.4111283078791848e-06,0.13397773082800057,-3.8610441583486475e-06,188.0,201.0,228.0,205.66666666666666
cityidx_total_current_assets_10k,1.7810304723634034e-06,0.1349505802297446,-9.150394297940956e-06,173.0,189.0,257.0,206.33333333333334
medical_health_blood_donation_station_dense,1.8021180693512074e-08,0.13544616255724318,-5.0162767384343e-09,268.0,185.0,169.0,207.33333333333334
cityidx_road_length_km,1.5789914590430016e-06,0.13384026573727947,-5.121918792105884e-06,182.0,207.0,235.0,208.0
community_winner_malls_dense,1.0263756974079688e-06,0.10416250059287502,-1.232576442578015e-07,201.0,239.0,185.0,208.33333333333334
medical_health_blood_donation_station,8.136505718838134e-07,0.0945707701007461,-2.108523973198828e-08,206.0,244.0,179.0,209.66666666666666
transportation_facilities_service_train_station_dense,1.7968021777322103e-06,0.08227758141935726,-1.3158248739486567e-06,172.0,248.0,210.0,210.0
land_near_construction_area_nearby_sectors,2.894021775448557e-07,0.03681456048774745,5.002639122841934e-07,251.0,265.0,114.0,210.0
cityidx_health_technical_personnel_10k,1.5429849772579873e-06,0.13386018426980328,-5.804704963496831e-06,184.0,206.0,240.0,210.0
cityidx_private_individual_and_other_employees_10k,3.095786245345487e-07,0.13901302130270343,-1.748313619653885e-06,249.0,165.0,217.0,210.33333333333334
cityidx_tertiary_industry_100m,3.4301950582682844e-06,0.13158261016888906,-1.4502240643077257e-05,139.0,220.0,273.0,210.66666666666666
cityidx_number_of_universities,1.4461286313163401e-06,0.13250084763486392,-5.2343872712357076e-06,186.0,213.0,236.0,211.66666666666666
medical_health_tcm_hospital_dense,1.2000646530817154e-08,0.13006443653061495,6.868454127673118e-09,271.0,226.0,139.0,212.0
cityidx_operating_bus_line_length_km,5.858961757395549e-08,0.1345960923254288,-1.9741767687264654e-08,264.0,196.0,178.0,212.66666666666666
cityidx_internet_broadband_access_subscribers_10k,1.6315715278306513e-07,0.13460144085718628,-1.4890881092632923e-07,255.0,195.0,189.0,213.0
cityidx_over_60_years_10k,1.6412264468097436e-07,0.13666255395316496,-1.6648666959384606e-06,254.0,171.0,215.0,213.33333333333334
cityidx_road_area_10k_sqm,1.2779762247691752e-06,0.13140449070949112,-5.5923797676826755e-06,192.0,222.0,237.0,217.0
cityidx_year_end_registered_population_10k,3.423137739008839e-08,0.13383371026823898,-4.7272296754830026e-08,265.0,208.0,181.0,218.0
transportation_facilities_service_long_distance_bus_station_dense,7.508250058260095e-08,0.081542490990401,8.52519399519025e-10,263.0,249.0,143.0,218.33333333333334
number_of_office_building_commercial,6.360353594549863e-07,0.0858569374072824,-1.2419847391642592e-07,222.0,247.0,186.0,218.33333333333334
cityidx_kindergarten_students_10k,1.4501237934584337e-07,0.13332500606426745,-1.4513228451251693e-07,257.0,211.0,188.0,218.66666666666666
medical_health_first_aid_center,2.0739693979014246e-06,0.0702769364725766,-5.8888724179695375e-06,164.0,250.0,243.0,219.0
cityidx_general_public_budget_revenue_100m,3.340852836295192e-07,0.13182632241585823,-2.8540285306188907e-07,248.0,218.0,196.0,220.66666666666666
cityidx_residential_development_investment_completed_10k,6.190917944864018e-07,0.018282236947027686,-3.6757726862290953e-10,226.0,276.0,165.0,222.33333333333334
cityidx_science_expenditure_10k,1.197557989455604e-06,0.13217736270845926,-1.0572225088933962e-05,194.0,214.0,262.0,223.33333333333334
lifestyle_leisure_stores_dense,4.317345417810346e-10,0.05253507038694072,7.173515115255214e-11,274.0,259.0,144.0,225.66666666666666
medical_health_tcm_hospital,1.0275770820477041e-07,0.0866379316749224,-6.773493987921597e-09,260.0,246.0,171.0,225.66666666666666
cityidx_real_estate_development_investment_completed_10k,1.6371219255083547e-08,0.018291628228204404,1.5299568945081887e-09,269.0,275.0,141.0,228.33333333333334
land_planned_building_area,2.5503339256373364e-08,0.017250296917995955,1.0830068730705022e-09,266.0,277.0,142.0,228.33333333333334
medical_health_veterinary_station_dense,2.7233242929034634e-10,0.03307185766241094,2.2531942978076815e-11,275.0,266.0,145.0,228.66666666666666
transportation_facilities_service_airport_related,6.190288196102622e-11,0.03732010033649957,3.5190739211543585e-13,277.0,263.0,147.0,229.0
number_of_community_winner_malls,1.1145175579114248e-08,0.06260872466289125,-4.686624610616974e-09,272.0,253.0,168.0,231.0
land_near_transaction_amount_nearby_sectors_log1p,3.4240243083719823e-07,0.04225022666766609,-1.4012142323105438e-07,246.0,262.0,187.0,231.66666666666666
transportation_facilities_service_long_distance_bus_station,1.47333216563731e-08,0.05071186787259996,-7.930072942752275e-09,270.0,260.0,172.0,234.0
number_of_city_winner_malls,2.440420551667102e-11,0.00998080190452566,2.2217894191101094e-12,279.0,279.0,146.0,234.66666666666666
transportation_facilities_service_airport_related_dense,4.539608460522078e-11,0.03732010033649957,-6.176392730594671e-13,278.0,263.0,163.0,234.66666666666666
city_winner_malls_dense,5.383306311938534e-12,0.00998080190452566,2.6056934387952424e-13,280.0,279.0,148.0,235.66666666666666
number_of_lifestyle_leisure_stores,1.9556664632037225e-08,0.026919275004459786,-1.0578099185476474e-08,267.0,267.0,174.0,236.0
medical_health_veterinary_station,1.4818330521613592e-10,0.026325384771710425,-7.339340246659275e-12,276.0,268.0,164.0,236.0
cityidx_main_business_taxes_and_surcharges_10k,7.072323685842472e-09,0.018296512845674018,-2.3319947639599548e-09,273.0,274.0,167.0,238.0
number_of_second_tier_shopping_malls_in_business_district,5.1649761818581383e-14,0.0046253828412858855,5.895284260759581e-14,284.0,281.0,149.0,238.0
transportation_facilities_service_port_terminal,1.119481471388402e-06,0.06422860420187315,-1.1605000398495769e-05,198.0,252.0,266.0,238.66666666666666
shopping_malls_with_street_facing_shops_dense,0.0,1.2212453270876722e-15,0.0,287.0,287.0,150.0,241.33333333333334
office_building_industrial_building_industrial_building,0.0,1.2212453270876722e-15,0.0,287.0,287.0,150.0,241.33333333333334
office_building_industrial_building_industrial_building_dense,0.0,1.2212453270876722e-15,0.0,287.0,287.0,150.0,241.33333333333334
transportation_facilities_service_light_rail_station_dense,0.0,1.2212453270876722e-15,0.0,287.0,287.0,150.0,241.33333333333334
number_of_key_focus_malls,0.0,1.2212453270876722e-15,0.0,287.0,287.0,150.0,241.33333333333334
transportation_facilities_service_light_rail_station,0.0,1.2212453270876722e-15,0.0,287.0,287.0,150.0,241.33333333333334
key_focus_malls_dense,0.0,1.2212453270876722e-15,0.0,287.0,287.0,150.0,241.33333333333334
number_of_shopping_malls_with_street_facing_shops,0.0,1.2212453270876722e-15,0.0,287.0,287.0,150.0,241.33333333333334
number_of_hotel_commercial,1.3289147538403562e-12,0.0033036477325927294,-1.2212453270876723e-16,282.0,285.0,158.0,241.66666666666666
hotel_commercial_dense,2.1008446052118853e-12,0.0033036477325927294,-4.4741987892393805e-15,281.0,285.0,159.0,241.66666666666666
second_tier_shopping_malls_in_business_district_dense,6.23717473858502e-14,0.0046253828412858855,-2.9531932455029164e-14,283.0,281.0,162.0,242.0
third_tier_shopping_malls_in_business_district_dense,3.1243995453059594e-14,0.0046253828412858855,-1.4876988529977098e-14,285.0,281.0,160.0,242.0
number_of_third_tier_shopping_malls_in_business_district,1.515914965997401e-15,0.0046253828412858855,-1.4876988529977098e-14,286.0,281.0,160.0,242.33333333333334
cityidx_total_fixed_assets_10k,8.51850877525882e-08,0.018299637161864668,-1.4913090734092194e-06,262.0,273.0,212.0,249.0
